slot_id,day_of_week,start_time,end_time,duration_minutes,scheme,campus,slot_type,applicable_batches,max_concurrent_activities,priority_level,room_availability,teacher_availability,break_slot,lunch_slot,elective_slot,lab_preferred,rush_period,booking_status,conflict_level,utilization_rate,notes
SLOT05001,Monday,08:00,09:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",6,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,67,Monday 08:00-09:00 slot for A scheme
SLOT05002,Monday,09:00,10:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",6,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,61,Monday 09:00-10:00 slot for A scheme
SLOT05003,Monday,10:00,11:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,77,Monday 10:00-11:00 slot for A scheme
SLOT05004,Monday,11:00,12:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,75,Monday 11:00-12:00 slot for A scheme
SLOT05005,Monday,12:00,13:00,60,A,Campus-3,Morning Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,74,Monday 12:00-13:00 slot for A scheme
SLOT05006,Monday,13:00,14:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,68,Monday 13:00-14:00 slot for A scheme
SLOT05007,Monday,14:00,15:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,66,Monday 14:00-15:00 slot for A scheme
SLOT05008,Monday,15:00,16:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,High,High Demand,Limited Availability,False,False,False,True,False,Available,Medium,94,Monday 15:00-16:00 slot for A scheme
SLOT05009,Monday,16:00,17:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",8,Low,Moderate,Limited Availability,False,False,False,True,False,Available,Low,65,Monday 16:00-17:00 slot for A scheme
SLOT05010,Monday,17:00,18:00,60,A,Campus-3,Afternoon Session,"A01, A02, A03, A04, A05, A06",6,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,87,Monday 17:00-18:00 slot for A scheme
SLOT05011,Monday,08:00,09:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",5,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,62,Monday 08:00-09:00 slot for A scheme
SLOT05012,Monday,09:00,10:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",5,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,61,Monday 09:00-10:00 slot for A scheme
SLOT05013,Monday,10:00,11:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,65,Monday 10:00-11:00 slot for A scheme
SLOT05014,Monday,11:00,12:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,73,Monday 11:00-12:00 slot for A scheme
SLOT05015,Monday,12:00,13:00,60,A,Campus-15B,Morning Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,74,Monday 12:00-13:00 slot for A scheme
SLOT05016,Monday,13:00,14:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,92,Monday 13:00-14:00 slot for A scheme
SLOT05017,Monday,14:00,15:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,61,Monday 14:00-15:00 slot for A scheme
SLOT05018,Monday,15:00,16:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,High,High Demand,Limited Availability,False,False,False,True,False,Available,Medium,95,Monday 15:00-16:00 slot for A scheme
SLOT05019,Monday,16:00,17:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",7,Low,Moderate,Limited Availability,False,False,False,True,False,Available,Low,72,Monday 16:00-17:00 slot for A scheme
SLOT05020,Monday,17:00,18:00,60,A,Campus-15B,Afternoon Session,"A31, A32, A33, A34, A35, A36",5,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,94,Monday 17:00-18:00 slot for A scheme
SLOT05021,Monday,08:00,09:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",4,Low,Moderate,Peak Availability,False,False,False,False,False,Available,Low,86,Monday 08:00-09:00 slot for A scheme
SLOT05022,Monday,09:00,10:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",4,High,Moderate,Peak Availability,False,False,False,False,False,Available,Medium,74,Monday 09:00-10:00 slot for A scheme
SLOT05023,Monday,10:00,11:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,88,Monday 10:00-11:00 slot for A scheme
SLOT05024,Monday,11:00,12:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,77,Monday 11:00-12:00 slot for A scheme
SLOT05025,Monday,12:00,13:00,60,A,Campus-8,Morning Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,60,Monday 12:00-13:00 slot for A scheme
SLOT05026,Monday,13:00,14:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,70,Monday 13:00-14:00 slot for A scheme
SLOT05027,Monday,14:00,15:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,87,Monday 14:00-15:00 slot for A scheme
SLOT05028,Monday,15:00,16:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,High,High Demand,Limited Availability,False,False,False,True,False,Available,Medium,81,Monday 15:00-16:00 slot for A scheme
SLOT05029,Monday,16:00,17:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",6,Low,Moderate,Limited Availability,False,False,False,True,False,Available,Low,77,Monday 16:00-17:00 slot for A scheme
SLOT05030,Monday,17:00,18:00,60,A,Campus-8,Afternoon Session,"A13, A14, A15, A16, A17, A18",4,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,69,Monday 17:00-18:00 slot for A scheme
SLOT05031,Monday,08:00,09:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",6,Low,Moderate,Limited Availability,False,False,False,False,False,Available,Low,73,Monday 08:00-09:00 slot for B scheme
SLOT05032,Monday,09:00,10:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",6,High,Moderate,Limited Availability,False,False,False,False,False,Available,Medium,81,Monday 09:00-10:00 slot for B scheme
SLOT05033,Monday,10:00,11:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,66,Monday 10:00-11:00 slot for B scheme
SLOT05034,Monday,11:00,12:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,False,Available,High,65,Monday 11:00-12:00 slot for B scheme
SLOT05035,Monday,12:00,13:00,60,B,Campus-3,Morning Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,True,False,True,True,Available,Very High,84,Monday 12:00-13:00 slot for B scheme
SLOT05036,Monday,13:00,14:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,False,True,True,Available,Very High,66,Monday 13:00-14:00 slot for B scheme
SLOT05037,Monday,14:00,15:00,60,B,Campus-3,Afternoon Session,"B01, B02, B03, B04, B05, B06",8,High,High Demand,Peak Availability,False,False,True,True,True,Available,Very High,82,Monday 14:00-15:00 slot for B scheme
