room_id,room_code,room_name,campus,block,floor,room_type,capacity,area_sqft,equipment,ac_available,projector_available,whiteboard_available,smart_board_available,wifi_available,power_outlets,lighting_type,accessibility,maintenance_status,last_renovated,booking_restrictions,status,utilization_rate,notes,building_name,room_supervisor,cleaning_schedule,security_level,booking_contact,emergency_exit,fire_safety,seating_arrangement,ventilation_type
R1001,C-7,Theory Classroom C-7,Campus-3,C,7,Theory,40,480,"Projector, Whiteboard, Audio System, Chairs, Tables",True,True,True,False,True,7,LED,Accessible,Good,2022,Standard booking rules apply,Active,93,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-2,Daily,Medium,booking3@university.edu,Available,Fire extinguisher available,Theater Style,Hybrid
R1002,C-8,Theory Classroom C-8,Campus-3,C,8,Theory,40,480,"Projector, Whiteboard, Audio System, Chairs, Tables",False,True,True,True,True,6,LED,Accessible,Good,2022,Standard booking rules apply,Active,77,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-3,Weekly,Medium,booking3@university.edu,Available,Fire extinguisher available,Fixed Rows,Hybrid
R1003,C-9,Theory Classroom C-9,Campus-3,C,9,Theory,50,600,"Projector, Whiteboard, Audio System, Chairs, Tables",False,True,True,True,True,9,LED,Partially Accessible,Good,2023,Standard booking rules apply,Active,94,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-4,Daily,Medium,booking3@university.edu,Available,Fire extinguisher available,Movable Desks,Mechanical
R1004,C-10,Theory Classroom C-10,Campus-3,C,1,Theory,60,720,"Projector, Whiteboard, Audio System, Chairs, Tables",True,True,True,True,True,12,LED,Partially Accessible,Good,2023,Standard booking rules apply,Active,72,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-5,Alternate Days,Standard,booking3@university.edu,Available,Fire extinguisher available,Movable Desks,Mechanical
R1005,C-11,Theory Classroom C-11,Campus-3,C,1,Theory,80,960,"Projector, Whiteboard, Audio System, Chairs, Tables",False,True,True,True,True,11,LED,Partially Accessible,Good,2023,Standard booking rules apply,Active,82,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-6,Daily,Medium,booking3@university.edu,Available,Fire extinguisher available,Movable Desks,Hybrid
R1006,C-12,Theory Classroom C-12,Campus-3,C,1,Theory,80,960,"Projector, Whiteboard, Audio System, Chairs, Tables",False,True,True,True,True,11,LED,Accessible,Good,2023,Standard booking rules apply,Active,91,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-7,Daily,High,booking3@university.edu,Available,Fire extinguisher available,Fixed Rows,Natural
R1007,C-13,Theory Classroom C-13,Campus-3,C,1,Theory,40,480,"Projector, Whiteboard, Audio System, Chairs, Tables",False,True,True,False,True,9,LED,Partially Accessible,Good,2022,Standard booking rules apply,Active,81,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-8,Alternate Days,Standard,booking3@university.edu,Available,Fire extinguisher available,Theater Style,Mechanical
R1008,C-14,Theory Classroom C-14,Campus-3,C,1,Theory,40,480,"Projector, Whiteboard, Audio System, Chairs, Tables",True,True,True,True,True,7,LED,Partially Accessible,Good,2020,Standard booking rules apply,Active,78,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-9,Weekly,Medium,booking3@university.edu,Available,Fire extinguisher available,Theater Style,Natural
R1009,C-15,Theory Classroom C-15,Campus-3,C,1,Theory,60,720,"Projector, Whiteboard, Audio System, Chairs, Tables",True,True,True,True,True,12,LED,Accessible,Good,2021,Standard booking rules apply,Active,82,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-10,Alternate Days,Standard,booking3@university.edu,Available,Fire extinguisher available,Fixed Rows,Hybrid
R1010,C-16,Theory Classroom C-16,Campus-3,C,1,Theory,60,720,"Projector, Whiteboard, Audio System, Chairs, Tables",True,True,True,False,True,9,LED,Partially Accessible,Good,2022,Standard booking rules apply,Active,78,Standard theory classroom in Campus-3,Campus-3 Academic Block,Supervisor-1,Daily,Standard,booking3@university.edu,Available,Fire extinguisher available,Theater Style,Hybrid
